"content","original_id","from","date_created","sentiment","original_sentiment"
"#diskon Global Teleshop Special deal - Cashback Hingga Rp. 2.000.000 & Gratis Voucher","661072219091697664","GilaPromoDotCom","2015-11-02 13:47:53","",""
"#indonesia #diskon McDonalds Promo Menu Spesial Happy Meal - Harga Spesial Rp. 28.182 & Gratis Mainan","661066160121737216","GilaPromoDotCom","2015-11-02 13:23:49","",""
"#indonesia #diskon Lotteria Promo Menu Hemat BIG Smile - Harga Mulai Dari Rp. 10.000","661066160096600064","GilaPromoDotCom","2015-11-02 13:23:49","",""
"#diskon Dcost Restaurant Promo Delivery - Harga Mulai Dari Rp. 16.000","661034171905757184","GilaPromoDotCom","2015-11-02 11:16:42","",""
"#diskon Carrefour Telkomsel Promo Isi Ulang Pulsa - Gratis Hadiah Langsung","661034171901587457","GilaPromoDotCom","2015-11-02 11:16:42","",""
"#diskon A&W Restaurant Promo Awesome American - Menu Hemat Mulai Dari Rp. 12.000an","661034171486326784","GilaPromoDotCom","2015-11-02 11:16:42","",""
"#indonesia #diskon KFC Promo Santap Hemat Sepanjang Tahun - Diskon Rp. 20.000","661019637925171200","GilaPromoDotCom","2015-11-02 10:18:57","",""
"#indonesia #diskon Dcost Restaurant Promo Delivery - Harga Mulai Dari Rp. 16.000","661019637702860800","GilaPromoDotCom","2015-11-02 10:18:57","",""
"#indonesia #diskon Global Teleshop Special deal - Cashback Hingga Rp. 2.000.000 & Gratis Voucher","661019637447057408","GilaPromoDotCom","2015-11-02 10:18:57","",""
"#onlineonly #diskon Air Asia Promo Cuti Ke Luar Negeri - Harga Mulai Dari Rp. 339.000","660985049303678977","GilaPromoDotCom","2015-11-02 08:01:30","",""
"#onlineonly #diskon Air Asia Promo Terbang Hemat Ke Jepang - Harga Mulai Rp. 1.601.000","660985049014226944","GilaPromoDotCom","2015-11-02 08:01:30","",""
"#onlineonly #diskon Air Asia Go Promo Terbang Super Hemat - Harga Spesial Rp. 0","660985049010069504","GilaPromoDotCom","2015-11-02 08:01:30","",""
"#diskon Informa All Day Sale - Diskon 15% + Cashback Rp. 500.000","660976650553835520","GilaPromoDotCom","2015-11-02 07:28:08","",""
"#diskon Blibli Halloween Spooktacular Promo - Diskon Hingga 95% + 15%","660976650264399872","GilaPromoDotCom","2015-11-02 07:28:08","",""
"#diskon Gaudi Clothing Late Night Shopping Sale - Diskon 20%","660976650235023361","GilaPromoDotCom","2015-11-02 07:28:08","",""
"#indonesia #diskon A&W Restaurant Promo Awesome American - Menu Hemat Mulai Dari Rp. 12.000an","660976057386971136","GilaPromoDotCom","2015-11-02 07:25:47","",""
"#indonesia #diskon Carrefour Telkomsel Promo Isi Ulang Pulsa - Gratis Hadiah Langsung","660976057089138688","GilaPromoDotCom","2015-11-02 07:25:47","",""
"#diskon Pancious Membercard Best Deal - Gratis Menu Spesial","660971122666504192","GilaPromoDotCom","2015-11-02 07:06:10","",""
"#diskon Solaria Telkomsel Special Deal - Gratis Voucher Makan","660971122347876353","GilaPromoDotCom","2015-11-02 07:06:10","",""
"#diskon Zalora Great Brand Sale - Diskon 60%","660971122318516224","GilaPromoDotCom","2015-11-02 07:06:10","",""
"#diskon Philips Earphone Mega Sale - Diskon 50%","660971028601044992","GilaPromoDotCom","2015-11-02 07:05:48","",""
"#diskon Blibli Promo Pesta Kostum Anak - Diskon Hingga 70%","660971028269658112","GilaPromoDotCom","2015-11-02 07:05:48","",""
"#diskon Emax Indocomtech Special Deal - Cashback Hingga Rp. 2.000.000","660762488707932160","GilaPromoDotCom","2015-11-01 17:17:08","",""
"#diskon Timezone Promo Heboh - Main Sepuasnya Hanya Rp. 75.000","660762488699543552","GilaPromoDotCom","2015-11-01 17:17:08","",""
"#indonesia #diskon Timezone Promo Heboh - Main Sepuasnya Hanya Rp. 75.000","660747441403240448","GilaPromoDotCom","2015-11-01 16:17:20","",""
"#indonesia #diskon Solaria Telkomsel Special Deal - Gratis Voucher Makan","660747441168326656","GilaPromoDotCom","2015-11-01 16:17:20","",""
"#indonesia #diskon Metro Department Store Special BIG Sale - Diskon 60%","660747440853811200","GilaPromoDotCom","2015-11-01 16:17:20","",""
"#onlineonly #diskon Philips Earphone Mega Sale - Diskon 50%","660739699217211392","GilaPromoDotCom","2015-11-01 15:46:34","",""
"#onlineonly #diskon Blibli Promo Pesta Kostum Anak - Diskon Hingga 70%","660710204426862593","GilaPromoDotCom","2015-11-01 13:49:22","",""
